town,flat_type,avg_price
ANG MO KIO,2 ROOM,184000.0
ANG MO KIO,3 ROOM,243000.0
ANG MO KIO,4 ROOM,370000.0
ANG MO KIO,5 ROOM,542000.0
ANG MO KIO,EXECUTIVE,632000.0
BEDOK,2 ROOM,185000.0
BEDOK,3 ROOM,238000.0
BEDOK,4 ROOM,342000.0
BEDOK,5 ROOM,463000.0
BEDOK,EXECUTIVE,568000.0
BISHAN,3 ROOM,260000.0
BISHAN,4 ROOM,414000.0
BISHAN,5 ROOM,576000.0
BISHAN,EXECUTIVE,697000.0
BISHAN,MULTI-GENERATION,693000.0
BUKIT BATOK,2 ROOM,335000.0
BUKIT BATOK,3 ROOM,216000.0
BUKIT BATOK,4 ROOM,323000.0
BUKIT BATOK,5 ROOM,456000.0
BUKIT BATOK,EXECUTIVE,520000.0
BUKIT MERAH,1 ROOM,111000.0
BUKIT MERAH,2 ROOM,192000.0
BUKIT MERAH,3 ROOM,278000.0
BUKIT MERAH,4 ROOM,514000.0
BUKIT MERAH,5 ROOM,630000.0
BUKIT MERAH,EXECUTIVE,546000.0
BUKIT PANJANG,2 ROOM,260000.0
BUKIT PANJANG,3 ROOM,229000.0
BUKIT PANJANG,4 ROOM,315000.0
BUKIT PANJANG,5 ROOM,409000.0
BUKIT PANJANG,EXECUTIVE,512000.0
BUKIT TIMAH,3 ROOM,299000.0
BUKIT TIMAH,4 ROOM,461000.0
BUKIT TIMAH,5 ROOM,599000.0
BUKIT TIMAH,EXECUTIVE,740000.0
CENTRAL AREA,2 ROOM,198000.0
CENTRAL AREA,3 ROOM,310000.0
CENTRAL AREA,4 ROOM,576000.0
CENTRAL AREA,5 ROOM,885000.0
CENTRAL AREA,EXECUTIVE,499000.0
CHOA CHU KANG,2 ROOM,252000.0
CHOA CHU KANG,3 ROOM,237000.0
CHOA CHU KANG,4 ROOM,311000.0
CHOA CHU KANG,5 ROOM,395000.0
CHOA CHU KANG,EXECUTIVE,479000.0
CLEMENTI,2 ROOM,275000.0
CLEMENTI,3 ROOM,253000.0
CLEMENTI,4 ROOM,413000.0
CLEMENTI,5 ROOM,561000.0
CLEMENTI,EXECUTIVE,641000.0
GEYLANG,2 ROOM,152000.0
GEYLANG,3 ROOM,227000.0
GEYLANG,4 ROOM,391000.0
GEYLANG,5 ROOM,524000.0
GEYLANG,EXECUTIVE,590000.0
HOUGANG,2 ROOM,250000.0
HOUGANG,3 ROOM,229000.0
HOUGANG,4 ROOM,323000.0
HOUGANG,5 ROOM,428000.0
HOUGANG,EXECUTIVE,550000.0
JURONG EAST,2 ROOM,251000.0
JURONG EAST,3 ROOM,227000.0
JURONG EAST,4 ROOM,316000.0
JURONG EAST,5 ROOM,416000.0
JURONG EAST,EXECUTIVE,538000.0
JURONG WEST,2 ROOM,238000.0
JURONG WEST,3 ROOM,210000.0
JURONG WEST,4 ROOM,306000.0
JURONG WEST,5 ROOM,395000.0
JURONG WEST,EXECUTIVE,483000.0
KALLANG/WHAMPOA,2 ROOM,173000.0
KALLANG/WHAMPOA,3 ROOM,269000.0
KALLANG/WHAMPOA,4 ROOM,458000.0
KALLANG/WHAMPOA,5 ROOM,581000.0
KALLANG/WHAMPOA,EXECUTIVE,634000.0
MARINE PARADE,2 ROOM,238000.0
MARINE PARADE,3 ROOM,304000.0
MARINE PARADE,4 ROOM,399000.0
MARINE PARADE,5 ROOM,629000.0
PASIR RIS,2 ROOM,254000.0
PASIR RIS,3 ROOM,287000.0
PASIR RIS,4 ROOM,344000.0
PASIR RIS,5 ROOM,413000.0
PASIR RIS,EXECUTIVE,528000.0
PUNGGOL,2 ROOM,276000.0
PUNGGOL,3 ROOM,388000.0
PUNGGOL,4 ROOM,462000.0
PUNGGOL,5 ROOM,488000.0
PUNGGOL,EXECUTIVE,546000.0
QUEENSTOWN,2 ROOM,151000.0
QUEENSTOWN,3 ROOM,254000.0
QUEENSTOWN,4 ROOM,589000.0
QUEENSTOWN,5 ROOM,681000.0
QUEENSTOWN,EXECUTIVE,737000.0
SEMBAWANG,2 ROOM,273000.0
SEMBAWANG,3 ROOM,359000.0
SEMBAWANG,4 ROOM,329000.0
SEMBAWANG,5 ROOM,390000.0
SEMBAWANG,EXECUTIVE,474000.0
SENGKANG,2 ROOM,273000.0
SENGKANG,3 ROOM,370000.0
SENGKANG,4 ROOM,401000.0
SENGKANG,5 ROOM,446000.0
SENGKANG,EXECUTIVE,538000.0
SERANGOON,2 ROOM,160000.0
SERANGOON,3 ROOM,239000.0
SERANGOON,4 ROOM,342000.0
SERANGOON,5 ROOM,446000.0
SERANGOON,EXECUTIVE,580000.0
TAMPINES,2 ROOM,283000.0
TAMPINES,3 ROOM,260000.0
TAMPINES,4 ROOM,349000.0
TAMPINES,5 ROOM,441000.0
TAMPINES,EXECUTIVE,558000.0
TAMPINES,MULTI-GENERATION,600000.0
TOA PAYOH,2 ROOM,187000.0
TOA PAYOH,3 ROOM,245000.0
TOA PAYOH,4 ROOM,447000.0
TOA PAYOH,5 ROOM,593000.0
TOA PAYOH,EXECUTIVE,649000.0
WOODLANDS,2 ROOM,241000.0
WOODLANDS,3 ROOM,215000.0
WOODLANDS,4 ROOM,285000.0
WOODLANDS,5 ROOM,361000.0
WOODLANDS,EXECUTIVE,494000.0
YISHUN,2 ROOM,261000.0
YISHUN,3 ROOM,226000.0
YISHUN,4 ROOM,296000.0
YISHUN,5 ROOM,408000.0
YISHUN,EXECUTIVE,495000.0
YISHUN,MULTI-GENERATION,580000.0
